Class_A,Class_B,Separation_Accuracy_%,Top_10_Important_Bands
1,2,100.0,"91, 78, 197, 88, 105, 196, 2, 103, 39, 41"
1,3,100.0,"91, 197, 78, 200, 75, 2, 187, 196, 194, 76"
1,4,100.0,"84, 91, 105, 103, 32, 2, 145, 30, 86, 29"
1,5,99.37,"105, 91, 36, 200, 81, 37, 107, 146, 98, 100"
1,6,100.0,"31, 99, 98, 101, 88, 100, 95, 26, 92, 93"
1,7,100.0,"8, 190, 7, 6, 16, 15, 5, 9, 189, 28"
1,8,100.0,"9, 6, 5, 136, 182, 24, 184, 37, 11, 189"
1,9,100.0,"91, 61, 87, 40, 39, 75, 79, 81, 76, 101"
1,10,100.0,"91, 78, 75, 197, 77, 81, 68, 65, 4, 63"
1,11,100.0,"78, 200, 75, 28, 29, 79, 91, 27, 81, 2"
1,12,99.48,"75, 99, 95, 98, 100, 61, 101, 76, 57, 102"
1,13,100.0,"61, 75, 29, 28, 27, 72, 73, 69, 70, 78"
1,14,100.0,"20, 21, 22, 19, 34, 87, 108, 94, 113, 85"
1,15,100.0,"28, 88, 27, 29, 84, 200, 110, 108, 75, 6"
1,16,100.0,"61, 75, 32, 30, 27, 28, 29, 5, 12, 11"
2,3,92.04,"5, 6, 7, 9, 185, 34, 141, 33, 76, 79"
2,4,97.6,"101, 181, 100, 5, 150, 127, 190, 182, 41, 128"
2,5,99.3,"34, 21, 20, 82, 4, 55, 143, 41, 96, 103"
2,6,99.85,"34, 57, 36, 145, 35, 74, 26, 1, 21, 62"
2,7,100.0,"89, 197, 101, 105, 34, 99, 21, 100, 182, 98"
2,8,100.0,"101, 100, 102, 99, 41, 39, 81, 42, 38, 43"
2,9,99.77,"2, 3, 75, 21, 151, 145, 144, 146, 61, 199"
2,10,93.61,"34, 35, 79, 23, 140, 141, 36, 149, 22, 148"
2,11,89.53,"35, 34, 37, 36, 46, 141, 47, 138, 155, 176"
2,12,99.67,"162, 39, 172, 150, 140, 161, 160, 149, 41, 163"
2,13,99.8,"61, 2, 75, 3, 22, 21, 144, 90, 151, 34"
2,14,99.75,"75, 104, 78, 199, 57, 61, 59, 58, 49, 44"
2,15,99.63,"75, 34, 61, 78, 4, 21, 57, 80, 72, 56"
2,16,99.78,"97, 2, 96, 143, 13, 57, 107, 130, 14, 140"
3,4,94.08,"106, 99, 151, 34, 191, 101, 102, 150, 181, 82"
3,5,100.0,"4, 3, 83, 62, 197, 89, 182, 81, 84, 143"
3,6,99.79,"74, 33, 57, 31, 26, 89, 28, 25, 27, 90"
3,7,100.0,"197, 182, 195, 181, 183, 185, 179, 184, 190, 188"
3,8,100.0,"102, 75, 101, 100, 29, 98, 99, 27, 28, 81"
3,9,100.0,"197, 200, 103, 199, 146, 57, 50, 44, 143, 39"
3,10,95.19,"35, 34, 151, 149, 42, 139, 159, 20, 86, 140"
3,11,87.42,"139, 35, 46, 135, 138, 34, 42, 137, 31, 121"
3,12,95.78,"42, 39, 38, 76, 41, 44, 142, 114, 119, 19"
3,13,100.0,"30, 200, 75, 57, 103, 143, 77, 107, 52, 104"
3,14,100.0,"19, 20, 34, 199, 21, 198, 103, 196, 186, 182"
3,15,100.0,"3, 4, 199, 200, 181, 6, 184, 103, 30, 178"
3,16,98.56,"6, 3, 2, 4, 11, 5, 7, 13, 9, 8"
4,5,97.69,"55, 84, 83, 34, 20, 26, 144, 82, 193, 36"
4,6,99.66,"34, 36, 35, 19, 20, 26, 81, 31, 37, 144"
4,7,98.75,"97, 96, 83, 86, 85, 84, 61, 32, 90, 30"
4,8,100.0,"32, 28, 27, 104, 103, 30, 84, 26, 29, 105"
4,9,100.0,"57, 20, 104, 19, 61, 24, 46, 43, 199, 47"
4,10,99.17,"151, 148, 150, 34, 153, 35, 149, 147, 197, 36"
4,11,98.76,"150, 153, 35, 155, 79, 149, 197, 101, 100, 151"
4,12,97.59,"34, 41, 39, 35, 42, 62, 38, 44, 43, 197"
4,13,100.0,"61, 57, 20, 75, 19, 101, 82, 52, 53, 2"
4,14,99.78,"57, 75, 58, 103, 69, 73, 53, 59, 70, 55"
4,15,98.4,"57, 1, 20, 19, 144, 3, 9, 104, 80, 4"
4,16,100.0,"57, 2, 11, 13, 4, 12, 7, 3, 9, 8"
5,6,99.45,"20, 19, 36, 21, 18, 35, 37, 57, 40, 38"
5,7,100.0,"32, 98, 99, 30, 95, 100, 31, 104, 87, 103"
5,8,99.65,"36, 27, 28, 37, 105, 38, 100, 102, 3, 98"
5,9,98.68,"75, 23, 62, 61, 24, 40, 93, 18, 55, 56"
5,10,99.31,"84, 40, 151, 193, 147, 83, 152, 82, 4, 150"
5,11,98.87,"36, 19, 26, 61, 84, 79, 193, 83, 145, 6"
5,12,98.76,"105, 4, 24, 35, 57, 93, 75, 26, 5, 193"
5,13,100.0,"75, 32, 18, 62, 56, 74, 55, 84, 87, 82"
5,14,98.86,"19, 100, 101, 32, 72, 30, 81, 74, 99, 71"
5,15,97.32,"19, 72, 70, 71, 69, 18, 100, 68, 81, 75"
5,16,99.42,"199, 94, 97, 36, 98, 91, 87, 99, 96, 95"
6,7,100.0,"31, 33, 14, 26, 15, 5, 16, 17, 99, 98"
6,8,100.0,"61, 57, 82, 81, 95, 75, 79, 98, 100, 62"
6,9,99.56,"35, 34, 183, 29, 57, 100, 27, 178, 184, 94"
6,10,99.61,"57, 61, 26, 2, 105, 74, 23, 81, 73, 28"
6,11,100.0,"36, 37, 57, 38, 26, 34, 21, 35, 39, 22"
6,12,100.0,"40, 25, 200, 57, 105, 24, 31, 97, 74, 11"
6,13,100.0,"29, 28, 32, 36, 37, 30, 100, 127, 102, 35"
6,14,99.5,"36, 35, 37, 18, 15, 107, 103, 16, 193, 80"
6,15,97.31,"36, 79, 81, 58, 29, 60, 37, 30, 59, 80"
6,16,99.6,"31, 33, 26, 27, 28, 29, 25, 24, 23, 35"
7,8,99.34,"78, 27, 28, 103, 29, 190, 24, 23, 77, 22"
7,9,100.0,"25, 31, 24, 90, 89, 26, 9, 5, 23, 6"
